positive_score,negative_score,objective_score,word_count,adj_count,verb_count,noun_count,adv_count
0.111,0.033,0.627,105,16,34,42,13
0.077,0.043,0.739,142,20,58,47,17
0.061,0.033,0.811,158,21,54,60,23
0.077,0.066,0.741,216,25,71,88,32
0.085,0.054,0.804,528,78,184,215,51
0.074,0.044,0.718,842,124,256,359,103
0.075,0.006,0.719,20,2,6,11,1
0.03,0.01,0.8,25,1,13,8,3
0.071,0.045,0.755,132,13,46,49,24
0.083,0.036,0.722,63,9,16,32,6
0.068,0.049,0.747,81,14,31,26,10
0.009,0.0,0.135,201,27,16,153,5
0.072,0.043,0.859,38,10,8,18,2
0.114,0.069,0.75,45,5,16,15,9
0.022,0.022,0.578,58,9,20,25,4
0.026,0.039,0.81,151,28,35,84,4
0.057,0.068,0.812,95,8,29,51,7
0.077,0.02,0.781,49,4,16,24,5
0.101,0.089,0.69,42,8,11,14,9
0.061,0.054,0.762,106,14,28,47,17
0.063,0.063,0.759,610,113,185,237,75
0.073,0.071,0.742,123,20,31,53,19
0.066,0.041,0.725,89,14,30,36,9
0.081,0.044,0.754,66,10,23,27,6
0.07,0.062,0.769,193,30,60,77,26
0.06,0.047,0.732,56,10,16,24,6
0.044,0.029,0.711,51,9,13,21,8
0.056,0.026,0.786,38,4,10,23,1
0.05,0.042,0.908,15,0,6,8,1
0.072,0.056,0.761,45,7,13,15,10
0.054,0.035,0.404,201,21,26,142,12
0.058,0.082,0.784,26,4,9,11,2
0.096,0.033,0.804,30,1,12,6,11
0.038,0.042,0.788,136,15,31,72,18
0.106,0.032,0.785,39,3,18,14,4
0.078,0.043,0.726,72,9,20,33,10
0.086,0.062,0.731,207,23,56,94,34
0.07,0.068,0.778,59,7,15,23,14
0.097,0.05,0.755,164,24,62,58,20
0.0,0.0,0.005,206,12,10,184,0
0.06,0.03,0.863,21,2,6,9,4
0.072,0.045,0.728,316,51,101,128,36
0.082,0.05,0.735,195,24,73,64,34
0.016,0.055,0.43,32,8,8,16,0
0.091,0.051,0.767,44,4,11,19,10
0.107,0.065,0.732,21,4,7,7,3
0.089,0.065,0.716,77,11,29,27,10
0.059,0.007,0.875,17,0,9,7,1
0.08,0.059,0.759,553,81,172,210,90
0.085,0.053,0.718,104,12,49,27,16
0.052,0.057,0.724,24,3,9,6,6
0.07,0.034,0.805,66,10,24,22,10
0.072,0.061,0.798,101,16,35,33,17
0.02,0.044,0.525,51,7,11,27,6
0.072,0.029,0.668,26,1,8,11,6
0.052,0.019,0.821,65,3,14,47,1
0.057,0.036,0.793,70,11,23,30,6
0.079,0.075,0.762,60,7,23,20,10
0.074,0.06,0.741,96,15,24,37,20
0.087,0.018,0.734,62,6,21,26,9
0.0,0.004,0.309,32,1,4,24,3
0.011,0.004,0.279,34,2,5,24,3
0.086,0.032,0.752,54,8,23,17,6
0.127,0.058,0.631,60,9,11,35,5
0.099,0.026,0.753,49,7,20,12,10
0.016,0.012,0.585,31,4,7,18,2
0.078,0.037,0.659,40,6,15,15,4
0.076,0.061,0.773,33,2,10,15,6
0.105,0.057,0.789,61,10,18,21,12
0.138,0.056,0.656,20,2,7,9,2
0.078,0.031,0.631,77,10,30,32,5
0.059,0.015,0.868,17,2,5,7,3
0.046,0.032,0.81,27,2,12,7,6
0.069,0.012,0.823,31,6,13,7,5
0.121,0.076,0.621,33,3,15,10,5
0.071,0.039,0.846,70,5,26,32,7
0.079,0.026,0.859,112,8,46,42,16
0.085,0.05,0.764,129,23,46,35,25
0.114,0.045,0.705,22,4,7,7,4
0.08,0.043,0.757,50,7,19,17,7
0.081,0.055,0.716,256,38,87,85,46
0.083,0.047,0.794,66,8,25,25,8
0.082,0.067,0.655,41,8,11,17,5
0.063,0.051,0.698,400,57,138,162,43
0.059,0.04,0.775,166,18,53,74,21
0.062,0.018,0.652,56,7,17,23,9
0.07,0.042,0.734,501,81,148,218,54
0.004,0.0,0.254,35,2,4,26,3
0.039,0.011,0.728,45,3,9,28,5
0.071,0.033,0.679,23,2,9,7,5
0.0,0.0,0.0,133,2,2,129,0
0.082,0.062,0.788,132,19,43,51,19
0.092,0.013,0.789,38,4,9,16,9
0.075,0.01,0.795,25,5,8,6,6
0.136,0.033,0.684,34,7,5,18,4
0.086,0.033,0.809,83,8,27,38,10
0.058,0.048,0.754,93,18,16,50,9
0.102,0.014,0.739,55,8,18,18,11
0.074,0.034,0.77,74,10,25,28,11
0.069,0.038,0.723,65,8,26,19,12
0.123,0.026,0.723,78,14,25,27,12
0.04,0.042,0.763,142,19,46,65,12
0.109,0.043,0.5,23,5,9,5,4
0.045,0.026,0.835,53,5,21,22,5
0.07,0.032,0.805,75,5,25,38,7
0.069,0.033,0.709,164,18,46,68,32
0.102,0.04,0.722,22,2,7,13,0
0.072,0.022,0.816,89,17,28,37,7
0.055,0.055,0.735,116,24,40,38,14
0.091,0.045,0.712,66,11,22,23,10
0.053,0.01,0.707,26,2,10,8,6
0.062,0.037,0.797,67,6,20,32,9
0.113,0.051,0.787,245,27,89,90,39
0.202,0.083,0.619,21,4,3,9,5
0.163,0.06,0.69,23,4,9,9,1
0.086,0.039,0.775,181,25,48,84,24
0.101,0.034,0.673,26,5,9,12,0
0.069,0.054,0.825,174,23,63,71,17
